,disco_35_0,disco_35_1,disco_35_2,ssim_35_0,ssim_35_1,ssim_35_2,pearson_35_0,pearson_35_1,pearson_35_2,psnr_35_0,psnr_35_1,psnr_35_2,hicrep_34_0,hicrep_34_1,hicrep_34_2
155,0.89642,0.8881,0.88177,0.94073,0.90967,0.88788,0.96372,0.93616,0.93406,33.51761,34.98674,33.50603,0.82292,0.75775,0.69228
156,0.89644,0.88775,0.87983,0.94099,0.90889,0.88681,0.9639,0.93582,0.93359,33.55202,34.96464,33.42345,0.82738,0.75809,0.68636
157,0.89688,0.8878,0.88068,0.94059,0.90888,0.88735,0.96396,0.93596,0.93426,33.52469,34.93546,33.45147,0.82439,0.75279,0.6828
158,0.89577,0.888,0.88013,0.94092,0.90986,0.8904,0.96346,0.93632,0.93485,33.50942,34.9943,33.60094,0.82655,0.76106,0.69487
159,0.89607,0.88778,0.88029,0.94048,0.90876,0.88846,0.96368,0.93582,0.93407,33.4992,34.93268,33.48938,0.82448,0.75759,0.69592
160,0.89574,0.88675,0.87952,0.94068,0.90946,0.8891,0.96378,0.93609,0.93397,33.49722,34.94815,33.53444,0.82198,0.75534,0.69215
161,0.89543,0.88708,0.87941,0.94121,0.90981,0.88863,0.96396,0.9365,0.93438,33.54515,34.97223,33.50755,0.82781,0.75449,0.68367
162,0.89622,0.88768,0.87972,0.94078,0.90938,0.88872,0.96373,0.93617,0.93427,33.51991,34.97573,33.5463,0.82715,0.75355,0.68642
163,0.89584,0.88551,0.87898,0.94082,0.90995,0.89004,0.96354,0.93636,0.93432,33.51862,34.9646,33.55509,0.82273,0.75408,0.6918
164,0.89627,0.88751,0.88093,0.94073,0.90927,0.88813,0.96397,0.93594,0.93443,33.5473,34.96487,33.49674,0.82785,0.75652,0.69217
165,0.89589,0.88705,0.87837,0.94066,0.90873,0.88709,0.96367,0.93566,0.93378,33.51156,34.93226,33.44528,0.82049,0.74854,0.67982
166,0.89633,0.88738,0.88008,0.94081,0.90909,0.88561,0.96385,0.93583,0.9335,33.5471,34.96709,33.3614,0.82608,0.76232,0.6861
167,0.89606,0.88683,0.87922,0.9405,0.90883,0.88862,0.96356,0.93564,0.93396,33.48153,34.91799,33.51018,0.82146,0.74935,0.69066
168,0.8963,0.8879,0.88069,0.94082,0.90936,0.88795,0.9638,0.93626,0.93436,33.52159,34.96947,33.46406,0.82277,0.75137,0.68741
169,0.89623,0.88712,0.87919,0.94084,0.90911,0.88703,0.96388,0.93615,0.93393,33.53296,34.97507,33.44262,0.82183,0.74498,0.68139
170,0.89635,0.88713,0.87975,0.94107,0.90919,0.88735,0.96393,0.93624,0.93408,33.55027,34.96902,33.44802,0.82868,0.75497,0.68783
171,0.89623,0.88783,0.88001,0.94081,0.90916,0.88724,0.96388,0.93606,0.93403,33.52904,34.95536,33.43858,0.82352,0.75462,0.67803
172,0.89604,0.88748,0.87973,0.94074,0.90832,0.88781,0.9637,0.9357,0.93407,33.52466,34.91285,33.46173,0.82282,0.75105,0.68503
